Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Blogs,Chrome 59.0.3071.115,,2017-07-18 10:48:16,2017-07-18 11:00:01,11m - 45.259s,FAILED
,,,,,,
Test Cases/My Content/Global TestCases/Login Via Website,Chrome 59.0.3071.115,"Switch Between \""Login Via Website\"" and \""Login Via Accounts\""",2017-07-18 10:48:17,2017-07-18 10:49:14,57.326s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-18 10:48:19,2017-07-18 10:48:27,7.852s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-18 10:48:27,2017-07-18 10:48:36,8.916s,PASSED
maximizeWindow,Chrome 59.0.3071.115,,2017-07-18 10:48:36,2017-07-18 10:48:37,1.490s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:48:37,2017-07-18 10:48:38,0.688s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:48:38,2017-07-18 10:48:38,0.415s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:48:38,2017-07-18 10:49:14,35.771s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:49:14,2017-07-18 10:49:14,0.097s,PASSED
,,,,,,
Test Cases/My Content/Blogs/Modal/Verify_Draft/Draft_Add_blog,Chrome 59.0.3071.115,,2017-07-18 10:49:14,2017-07-18 10:50:42,1m - 27.552s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:49:15,2017-07-18 10:49:35,20.338s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:49:35,2017-07-18 10:49:54,18.705s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:49:54,2017-07-18 10:49:54,0.500s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:49:54,2017-07-18 10:49:58,3.698s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:49:58,2017-07-18 10:49:59,0.324s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:59,2017-07-18 10:49:59,0.859s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:59,2017-07-18 10:50:00,0.783s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-18 10:50:00,2017-07-18 10:50:00,0.138s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:00,2017-07-18 10:50:01,1.167s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-18 10:50:01,2017-07-18 10:50:02,0.045s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-18 10:50:02,2017-07-18 10:50:02,0.082s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:50:02,2017-07-18 10:50:41,39.219s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:50:41,2017-07-18 10:50:42,0.722s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-18 10:50:42,2017-07-18 10:50:42,0.164s,PASSED
Statement - actual_title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Preview  junetest2bda/span_Test Draft 1)),Chrome 59.0.3071.115,,2017-07-18 10:50:42,2017-07-18 10:50:42,0.177s,PASSED
verifyMatch,Chrome 59.0.3071.115,,2017-07-18 10:50:42,2017-07-18 10:50:42,0.033s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-18 10:50:42,2017-07-18 10:50:42,0.023s,PASSED
,,,,,,
Test Cases/My Content/Blogs/Modal/Verify_Draft/Draft_Edit1_blog,Chrome 59.0.3071.115,,2017-07-18 10:50:42,2017-07-18 10:51:26,43.506s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:50:43,2017-07-18 10:50:45,2.806s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:50:45,2017-07-18 10:50:50,4.351s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:50:50,2017-07-18 10:50:50,0.619s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:50:50,2017-07-18 10:50:54,4.054s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:50:54,2017-07-18 10:50:55,0.503s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:55,2017-07-18 10:50:56,0.889s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:56,2017-07-18 10:50:57,0.743s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-18 10:50:57,2017-07-18 10:50:57,0.102s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:57,2017-07-18 10:50:57,0.335s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-18 10:50:57,2017-07-18 10:50:57,0.013s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-18 10:50:57,2017-07-18 10:50:57,0.061s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:50:57,2017-07-18 10:51:18,21.375s,PASSED
click,Chrome 59.0.3071.115,Click to Design Tab\\r\\n,2017-07-18 10:51:18,2017-07-18 10:51:24,6.004s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:51:24,2017-07-18 10:51:25,0.831s,PASSED
