Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Build an Impact Website,Chrome 59.0.3071.115,,2017-07-26 15:14:13,2017-07-26 15:14:24,11.378s,PASSED
,,,,,,
Test Cases/Website Creation/Select BD,Chrome 59.0.3071.115,,2017-07-26 15:14:14,2017-07-26 15:14:22,8.085s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-26 15:14:14,2017-07-26 15:14:17,2.766s,PASSED
click,Chrome 59.0.3071.115,,2017-07-26 15:14:17,2017-07-26 15:14:19,2.252s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-26 15:14:19,2017-07-26 15:14:20,0.143s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-26 15:14:20,2017-07-26 15:14:20,0.074s,PASSED
click,Chrome 59.0.3071.115,,2017-07-26 15:14:20,2017-07-26 15:14:20,0.319s,PASSED
Statement - Try,Chrome 59.0.3071.115,Try Clicking\\r\\n,2017-07-26 15:14:20,2017-07-26 15:14:21,0.757s,PASSED
Statement - Finally,Chrome 59.0.3071.115,,2017-07-26 15:14:21,2017-07-26 15:14:21,0.476s,PASSED
click,Chrome 59.0.3071.115,,2017-07-26 15:14:21,2017-07-26 15:14:21,0.093s,PASSED
Statement - Try,Chrome 59.0.3071.115,,2017-07-26 15:14:21,2017-07-26 15:14:22,0.262s,PASSED
Statement - Finally,Chrome 59.0.3071.115,,2017-07-26 15:14:22,2017-07-26 15:14:22,0.007s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-26 15:14:22,2017-07-26 15:14:22,0.051s,PASSED
,,,,,,
Test Cases/Website Creation/Select Theme Impact,Chrome 59.0.3071.115,,2017-07-26 15:14:22,2017-07-26 15:14:24,2.146s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-26 15:14:22,2017-07-26 15:14:22,0.031s,PASSED
click,Chrome 59.0.3071.115,,2017-07-26 15:14:22,2017-07-26 15:14:22,0.198s,PASSED
Statement - Try,Chrome 59.0.3071.115,Try Clicking\\r\\n,2017-07-26 15:14:22,2017-07-26 15:14:23,0.658s,PASSED
Statement - Finally,Chrome 59.0.3071.115,,2017-07-26 15:14:23,2017-07-26 15:14:23,0.470s,PASSED
click,Chrome 59.0.3071.115,,2017-07-26 15:14:23,2017-07-26 15:14:24,0.127s,PASSED
Statement - Try,Chrome 59.0.3071.115,,2017-07-26 15:14:24,2017-07-26 15:14:24,0.214s,PASSED
Statement - Finally,Chrome 59.0.3071.115,,2017-07-26 15:14:24,2017-07-26 15:14:24,0.001s,PASSED
