Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pages,Chrome 59.0.3071.115,,2017-07-31 09:37:05,2017-07-31 09:45:06,8m - 0.759s,FAILED
,,,,,,
Test Cases/Login/Login Via Website,Chrome 59.0.3071.115,"Switch Between \""Login Via Website\"" and \""Login Via Accounts\""",2017-07-31 09:37:05,2017-07-31 09:37:20,14.902s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-31 09:37:06,2017-07-31 09:37:09,3.104s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-31 09:37:09,2017-07-31 09:37:12,2.972s,PASSED
maximizeWindow,Chrome 59.0.3071.115,,2017-07-31 09:37:12,2017-07-31 09:37:13,1.172s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-31 09:37:13,2017-07-31 09:37:13,0.274s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-31 09:37:13,2017-07-31 09:37:14,0.311s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:37:14,2017-07-31 09:37:20,6.202s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-31 09:37:20,2017-07-31 09:37:20,0.128s,PASSED
,,,,,,
Test Cases/My Content/Pages/Modal/Verify_Draft/Draft_Add,Chrome 59.0.3071.115,,2017-07-31 09:37:20,2017-07-31 09:38:14,53.723s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:37:21,2017-07-31 09:37:36,14.602s,PASSED
Statement - Title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Pages  junetest2bda/h3_Title)),Chrome 59.0.3071.115,,2017-07-31 09:37:36,2017-07-31 09:37:36,0.582s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:37:36,2017-07-31 09:37:37,0.148s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-31 09:37:37,2017-07-31 09:37:39,2.585s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-31 09:37:39,2017-07-31 09:37:40,0.427s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-31 09:37:40,2017-07-31 09:37:40,0.776s,PASSED
Statement - Ctext = CustomKeywords.random.Rand_CkEd_Text.rand_text(CKText),Chrome 59.0.3071.115,Random Ckeditor Text Generator\\r\\n,2017-07-31 09:37:40,2017-07-31 09:37:40,0.025s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-31 09:37:40,2017-07-31 09:37:40,0.075s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-31 09:37:40,2017-07-31 09:37:42,2.030s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-31 09:37:42,2017-07-31 09:37:43,0.038s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-31 09:37:43,2017-07-31 09:37:43,0.081s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:37:43,2017-07-31 09:38:13,30.415s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-31 09:38:13,2017-07-31 09:38:13,0.384s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-31 09:38:13,2017-07-31 09:38:13,0.072s,PASSED
Statement - CapTitle = CustomKeywords.random.Capitals.makeCap(Title + AddDraftTitle[0]),Chrome 59.0.3071.115,,2017-07-31 09:38:13,2017-07-31 09:38:13,0.009s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-31 09:38:13,2017-07-31 09:38:14,0.202s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-31 09:38:14,2017-07-31 09:38:14,0.161s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-31 09:38:14,2017-07-31 09:38:14,0.019s,PASSED
,,,,,,
Test Cases/My Content/Pages/Modal/close Modals_AddButton,Chrome 59.0.3071.115,,2017-07-31 09:38:14,2017-07-31 09:38:20,6.042s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:38:14,2017-07-31 09:38:17,2.526s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:38:17,2017-07-31 09:38:17,0.323s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-31 09:38:17,2017-07-31 09:38:19,1.980s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-31 09:38:19,2017-07-31 09:38:19,0.347s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:38:19,2017-07-31 09:38:20,0.397s,PASSED
verifyElementNotPresent,Chrome 59.0.3071.115,,2017-07-31 09:38:20,2017-07-31 09:38:20,0.134s,PASSED
,,,,,,
Test Cases/My Content/Pages/Modal/CloseModal_AddPagetoDelete,Chrome 59.0.3071.115,,2017-07-31 09:38:20,2017-07-31 09:38:26,5.791s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:38:20,2017-07-31 09:38:21,0.464s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:38:21,2017-07-31 09:38:21,0.566s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-31 09:38:21,2017-07-31 09:38:22,1.093s,PASSED
click,Chrome 59.0.3071.115,Verify Cancel Button\\r\\n,2017-07-31 09:38:22,2017-07-31 09:38:24,1.726s,PASSED
waitForElementNotPresent,Chrome 59.0.3071.115,,2017-07-31 09:38:24,2017-07-31 09:38:24,0.253s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:38:24,2017-07-31 09:38:25,0.169s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-31 09:38:25,2017-07-31 09:38:26,1.033s,PASSED
click,Chrome 59.0.3071.115,Verify Close button\\r\\n,2017-07-31 09:38:26,2017-07-31 09:38:26,0.147s,PASSED
waitForElementNotPresent,Chrome 59.0.3071.115,,2017-07-31 09:38:26,2017-07-31 09:38:26,0.019s,PASSED
,,,,,,
Test Cases/My Content/Pages/Modal/Verify_Draft/Draft_Edit1,Chrome 59.0.3071.115,,2017-07-31 09:38:26,2017-07-31 09:39:48,1m - 22.487s,PASSED
callTestCase,Chrome 59.0.3071.115,,2017-07-31 09:38:26,2017-07-31 09:39:04,37.412s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:39:04,2017-07-31 09:39:06,2.528s,PASSED
Statement - Title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Pages  junetest2bda/h3_Title)),Chrome 59.0.3071.115,,2017-07-31 09:39:06,2017-07-31 09:39:06,0.300s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:39:06,2017-07-31 09:39:07,0.259s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-31 09:39:07,2017-07-31 09:39:09,2.114s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-31 09:39:09,2017-07-31 09:39:09,0.331s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-31 09:39:09,2017-07-31 09:39:10,0.764s,PASSED
Statement - Ctext = CustomKeywords.random.Rand_CkEd_Text.rand_text(CKText),Chrome 59.0.3071.115,Random Ckeditor Text Generator\\r\\n,2017-07-31 09:39:10,2017-07-31 09:39:10,0.001s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-31 09:39:10,2017-07-31 09:39:10,0.045s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-31 09:39:10,2017-07-31 09:39:12,1.741s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-31 09:39:12,2017-07-31 09:39:12,0.016s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-31 09:39:12,2017-07-31 09:39:12,0.048s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:39:12,2017-07-31 09:39:42,30.315s,PASSED
click,Chrome 59.0.3071.115,Click to Design Tab\\r\\n,2017-07-31 09:39:42,2017-07-31 09:39:47,5.337s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-31 09:39:47,2017-07-31 09:39:48,0.473s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-31 09:39:48,2017-07-31 09:39:48,0.054s,PASSED
Statement - CapTitle = CustomKeywords.random.Capitals.makeCap(Title + AddDraftTitle[1]),Chrome 59.0.3071.115,,2017-07-31 09:39:48,2017-07-31 09:39:48,0.001s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-31 09:39:48,2017-07-31 09:39:48,0.200s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-31 09:39:48,2017-07-31 09:39:48,0.162s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-31 09:39:48,2017-07-31 09:39:48,0.021s,PASSED
,,,,,,
Test Cases/My Content/Pages/Modal/Verify_Draft/Draft_Add_Delete,Chrome 59.0.3071.115,,2017-07-31 09:39:48,2017-07-31 09:40:34,45.425s,FAILED
click,Chrome 59.0.3071.115,,2017-07-31 09:39:49,2017-07-31 09:39:51,2.132s,PASSED
Statement - Title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Pages  junetest2bda/h3_Title)),Chrome 59.0.3071.115,,2017-07-31 09:39:51,2017-07-31 09:39:52,0.287s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:39:52,2017-07-31 09:39:52,0.172s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-31 09:39:52,2017-07-31 09:39:55,3.334s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-31 09:39:55,2017-07-31 09:39:56,1.301s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-31 09:39:56,2017-07-31 09:39:56,0.057s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:39:56,2017-07-31 09:40:27,30.914s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-31 09:40:27,2017-07-31 09:40:28,0.426s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:40:28,2017-07-31 09:40:30,2.566s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:40:30,2017-07-31 09:40:31,0.605s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:40:31,2017-07-31 09:40:32,0.715s,PASSED
waitForElementNotPresent,Chrome 59.0.3071.115,,2017-07-31 09:40:32,2017-07-31 09:40:32,0.135s,PASSED
verifyElementNotPresent,Chrome 59.0.3071.115,,2017-07-31 09:40:32,2017-07-31 09:40:32,0.072s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-31 09:40:32,2017-07-31 09:40:32,0.021s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:40:32,2017-07-31 09:40:33,0.869s,PASSED
verifyTextNotPresent,Chrome 59.0.3071.115,,2017-07-31 09:40:33,2017-07-31 09:40:34,1.121s,FAILED
,,,,,,
Test Cases/My Content/Pages/Modal/Verify_Draft/Draft_Send_to_review,Chrome 59.0.3071.115,,2017-07-31 09:40:34,2017-07-31 09:41:56,1m - 22.008s,PASSED
callTestCase,Chrome 59.0.3071.115,,2017-07-31 09:40:34,2017-07-31 09:41:13,39.125s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:41:13,2017-07-31 09:41:16,2.188s,PASSED
Statement - Title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Pages  junetest2bda/h3_Title)),Chrome 59.0.3071.115,,2017-07-31 09:41:16,2017-07-31 09:41:16,0.318s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:41:16,2017-07-31 09:41:16,0.176s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-31 09:41:16,2017-07-31 09:41:19,3.219s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-31 09:41:19,2017-07-31 09:41:20,0.405s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-31 09:41:20,2017-07-31 09:41:20,0.463s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-31 09:41:20,2017-07-31 09:41:20,0.058s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:41:20,2017-07-31 09:41:55,35.171s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-31 09:41:55,2017-07-31 09:41:56,0.405s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:41:56,2017-07-31 09:41:56,0.013s,NOT_RUN
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-31 09:41:56,2017-07-31 09:41:56,0.000s,NOT_RUN
,,,,,,
Test Cases/My Content/Pages/Modal/Verify_Send_to_review/Send_to_review_Add,Chrome 59.0.3071.115,,2017-07-31 09:41:56,2017-07-31 09:42:32,35.879s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:41:57,2017-07-31 09:41:59,2.467s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:41:59,2017-07-31 09:42:00,0.364s,PASSED
Statement - Title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Pages  junetest2bda/h3_Title)),Chrome 59.0.3071.115,,2017-07-31 09:42:00,2017-07-31 09:42:00,0.083s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-31 09:42:00,2017-07-31 09:42:02,2.191s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-31 09:42:02,2017-07-31 09:42:04,1.736s,PASSED
Statement - Ctext = CustomKeywords.random.Rand_CkEd_Text.rand_text(CKText),Chrome 59.0.3071.115,Random Ckeditor Text Generator\\r\\n,2017-07-31 09:42:04,2017-07-31 09:42:04,0.000s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-31 09:42:04,2017-07-31 09:42:04,0.076s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-31 09:42:04,2017-07-31 09:42:05,1.490s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-31 09:42:05,2017-07-31 09:42:05,0.011s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-31 09:42:05,2017-07-31 09:42:05,0.047s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:42:05,2017-07-31 09:42:31,25.495s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-31 09:42:31,2017-07-31 09:42:31,0.566s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-31 09:42:31,2017-07-31 09:42:31,0.082s,PASSED
Statement - CapTitle = CustomKeywords.random.Capitals.makeCap(Title + AddDraftTitle[4]),Chrome 59.0.3071.115,,2017-07-31 09:42:31,2017-07-31 09:42:31,0.000s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-31 09:42:31,2017-07-31 09:42:32,0.226s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-31 09:42:32,2017-07-31 09:42:32,0.210s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-31 09:42:32,2017-07-31 09:42:32,0.027s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:42:32,2017-07-31 09:42:32,0.001s,NOT_RUN
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-31 09:42:32,2017-07-31 09:42:32,0.001s,NOT_RUN
,,,,,,
Test Cases/My Content/Pages/Modal/Verify_Send_to_review/Send_to_review_Edit,Chrome 59.0.3071.115,,2017-07-31 09:42:32,2017-07-31 09:43:45,1m - 13.567s,PASSED
callTestCase,Chrome 59.0.3071.115,,2017-07-31 09:42:33,2017-07-31 09:43:17,44.423s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:43:17,2017-07-31 09:43:19,2.122s,PASSED
click,Chrome 59.0.3071.115,,2017-07-31 09:43:19,2017-07-31 09:43:19,0.364s,PASSED
