Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PandS_Incomplete_Items_last,Chrome 59.0.3071.115,,2017-07-24 16:02:24,2017-07-24 16:19:04,16m - 40.110s,FAILED
,,,,,,
Test Cases/Login/Login Via Website,Chrome 59.0.3071.115,"Switch Between \""Login Via Website\"" and \""Login Via Accounts\""",2017-07-24 16:02:24,2017-07-24 16:02:57,32.684s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-24 16:02:25,2017-07-24 16:02:29,3.829s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-24 16:02:29,2017-07-24 16:02:32,3.004s,PASSED
maximizeWindow,Chrome 59.0.3071.115,,2017-07-24 16:02:32,2017-07-24 16:02:33,1.203s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:02:33,2017-07-24 16:02:34,0.281s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:02:34,2017-07-24 16:02:34,0.154s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:02:34,2017-07-24 16:02:57,23.399s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-24 16:02:57,2017-07-24 16:02:57,0.080s,PASSED
,,,,,,
Test Cases/My Content/Product and Services/AddWeightDefaultContent,Chrome 59.0.3071.115,,2017-07-24 16:02:57,2017-07-24 16:06:12,3m - 15.263s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:02:58,2017-07-24 16:03:18,20.469s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:03:18,2017-07-24 16:03:37,18.398s,PASSED
Statement - For (def index : (0..3)),Chrome 59.0.3071.115,,2017-07-24 16:03:37,2017-07-24 16:06:12,2m - 35.821s,PASSED
,,,,,,
Test Cases/My Content/Product and Services/Modal/Verify_Draft/Draft_Add_PandS_,Chrome 59.0.3071.115,,2017-07-24 16:06:13,2017-07-24 16:06:50,37.273s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:06:13,2017-07-24 16:06:15,1.955s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:06:15,2017-07-24 16:06:17,1.988s,PASSED
Statement - Title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Pages  junetest2bda/h3_Title)),Chrome 59.0.3071.115,,2017-07-24 16:06:17,2017-07-24 16:06:18,0.578s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:06:18,2017-07-24 16:06:18,0.162s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:06:18,2017-07-24 16:06:20,2.281s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:06:20,2017-07-24 16:06:20,0.144s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:06:20,2017-07-24 16:06:21,0.766s,PASSED
Statement - ProductWeightValue = ProductMemberWeight,Chrome 59.0.3071.115,,2017-07-24 16:06:21,2017-07-24 16:06:21,0.000s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:06:21,2017-07-24 16:06:21,0.226s,PASSED
Statement - ProductMemberWeight -= 1,Chrome 59.0.3071.115,,2017-07-24 16:06:21,2017-07-24 16:06:21,0.001s,PASSED
check,Chrome 59.0.3071.115,,2017-07-24 16:06:21,2017-07-24 16:06:22,0.164s,PASSED
Statement - Selected_icon = CustomKeywords.random.Rand_Icon_PS.rand_icon(81),Chrome 59.0.3071.115,Random Icon Selector\\r\\n,2017-07-24 16:06:22,2017-07-24 16:06:22,0.035s,PASSED
selectOptionByIndex,Chrome 59.0.3071.115,,2017-07-24 16:06:22,2017-07-24 16:06:22,0.310s,PASSED
Statement - Ctext = CustomKeywords.random.Rand_CkEd_Text.rand_text(CKText),Chrome 59.0.3071.115,Random Ckeditor Text Generator\\r\\n,2017-07-24 16:06:22,2017-07-24 16:06:22,0.029s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-24 16:06:22,2017-07-24 16:06:22,0.087s,PASSED
