Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Team Members,Chrome 59.0.3071.115,,2017-07-18 10:48:16,2017-07-18 10:52:36,4m - 19.833s,FAILED
,,,,,,
Test Cases/My Content/Global TestCases/Login Via Website,Chrome 59.0.3071.115,"Switch Between \""Login Via Website\"" and \""Login Via Accounts\""",2017-07-18 10:48:17,2017-07-18 10:48:47,30.044s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-18 10:48:20,2017-07-18 10:48:28,8.582s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-18 10:48:28,2017-07-18 10:48:36,7.370s,PASSED
maximizeWindow,Chrome 59.0.3071.115,,2017-07-18 10:48:36,2017-07-18 10:48:37,1.366s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:48:37,2017-07-18 10:48:38,1.116s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:48:38,2017-07-18 10:48:39,0.604s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:48:39,2017-07-18 10:48:47,8.130s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:48:47,2017-07-18 10:48:47,0.427s,PASSED
,,,,,,
Test Cases/My Content/Our Team/Modal/Verify_Send_to_review/Send_to_review_Add_Team_,Chrome 59.0.3071.115,,2017-07-18 10:48:47,2017-07-18 10:50:15,1m - 27.639s,FAILED
click,Chrome 59.0.3071.115,,2017-07-18 10:48:49,2017-07-18 10:49:11,21.133s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:49:11,2017-07-18 10:49:30,18.993s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:49:30,2017-07-18 10:49:30,0.543s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:49:30,2017-07-18 10:49:32,2.161s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:49:32,2017-07-18 10:49:33,0.951s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:33,2017-07-18 10:49:34,0.616s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:34,2017-07-18 10:49:34,0.394s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:34,2017-07-18 10:49:35,0.430s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:35,2017-07-18 10:49:35,0.294s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:35,2017-07-18 10:49:35,0.409s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:35,2017-07-18 10:49:36,0.341s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:36,2017-07-18 10:49:36,0.379s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:36,2017-07-18 10:49:36,0.264s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:36,2017-07-18 10:49:37,0.260s,PASSED
Statement - TeamMemberWeightValue = TeamMemberWeight,Chrome 59.0.3071.115,,2017-07-18 10:49:37,2017-07-18 10:49:37,0.001s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:37,2017-07-18 10:49:37,0.194s,PASSED
Statement - TeamMemberWeight -= 1,Chrome 59.0.3071.115,,2017-07-18 10:49:37,2017-07-18 10:49:37,0.002s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-18 10:49:37,2017-07-18 10:49:37,0.086s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:37,2017-07-18 10:49:37,0.211s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-18 10:49:37,2017-07-18 10:49:37,0.045s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-18 10:49:37,2017-07-18 10:49:37,0.085s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:49:37,2017-07-18 10:50:14,36.349s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:50:14,2017-07-18 10:50:14,0.429s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-18 10:50:14,2017-07-18 10:50:14,0.061s,PASSED
Statement - actual_title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Preview  junetest2bda/span_Test Draft 1)),Chrome 59.0.3071.115,,2017-07-18 10:50:14,2017-07-18 10:50:14,0.108s,PASSED
verifyMatch,Chrome 59.0.3071.115,,2017-07-18 10:50:14,2017-07-18 10:50:14,0.015s,PASSED
Statement - actual_text = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Preview  junetest2bda/p_This is a Draft Test)),Chrome 59.0.3071.115,,2017-07-18 10:50:14,2017-07-18 10:50:14,0.002s,NOT_RUN
verifyMatch,Chrome 59.0.3071.115,,2017-07-18 10:50:14,2017-07-18 10:50:14,0.000s,NOT_RUN
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-18 10:50:14,2017-07-18 10:50:14,0.010s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:50:14,2017-07-18 10:50:14,0.091s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-18 10:50:14,2017-07-18 10:50:15,0.587s,FAILED
,,,,,,
Test Cases/My Content/Our Team/Modal/Verify_Send_to_review/Send_to_review_Edit_Team_,Chrome 59.0.3071.115,,2017-07-18 10:50:15,2017-07-18 10:50:46,31.125s,ERROR
click,Chrome 59.0.3071.115,,2017-07-18 10:50:15,2017-07-18 10:50:35,19.825s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:50:35,2017-07-18 10:50:37,2.181s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:50:37,2017-07-18 10:50:38,0.483s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:50:38,2017-07-18 10:50:41,2.950s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:50:41,2017-07-18 10:50:41,0.277s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:41,2017-07-18 10:50:42,1.190s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:42,2017-07-18 10:50:43,0.556s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:43,2017-07-18 10:50:43,0.374s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:43,2017-07-18 10:50:44,0.528s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:44,2017-07-18 10:50:44,0.565s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:44,2017-07-18 10:50:45,0.543s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:45,2017-07-18 10:50:45,0.417s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:45,2017-07-18 10:50:46,0.298s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:46,2017-07-18 10:50:46,0.316s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-18 10:50:46,2017-07-18 10:50:46,0.050s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:50:46,2017-07-18 10:50:46,0.004s,PASSED
,,,,,,
Test Cases/My Content/Our Team/Modal/Verify_Send_to_review/Send_to_review_Add_Delete_Team_,Chrome 59.0.3071.115,,2017-07-18 10:50:46,2017-07-18 10:52:35,1m - 48.459s,FAILED
callTestCase,Chrome 59.0.3071.115,,2017-07-18 10:50:47,2017-07-18 10:51:22,35.473s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:51:22,2017-07-18 10:51:42,20.222s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:51:42,2017-07-18 10:52:01,18.532s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:52:01,2017-07-18 10:52:01,0.470s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:52:01,2017-07-18 10:52:04,2.214s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:52:04,2017-07-18 10:52:04,0.152s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:52:04,2017-07-18 10:52:04,0.447s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:52:04,2017-07-18 10:52:05,0.270s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:52:05,2017-07-18 10:52:05,0.269s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:52:05,2017-07-18 10:52:05,0.195s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:52:05,2017-07-18 10:52:05,0.348s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:52:05,2017-07-18 10:52:06,0.388s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:52:06,2017-07-18 10:52:06,0.441s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:52:06,2017-07-18 10:52:07,0.471s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:52:07,2017-07-18 10:52:07,0.609s,PASSED
Statement - TeamMemberWeightValue = TeamMemberWeight,Chrome 59.0.3071.115,,2017-07-18 10:52:07,2017-07-18 10:52:07,0.001s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:52:07,2017-07-18 10:52:08,0.209s,PASSED
Statement - TeamMemberWeight -= 1,Chrome 59.0.3071.115,,2017-07-18 10:52:08,2017-07-18 10:52:08,0.000s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-18 10:52:08,2017-07-18 10:52:08,0.110s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:52:08,2017-07-18 10:52:33,25.152s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:52:33,2017-07-18 10:52:34,1.006s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:52:34,2017-07-18 10:52:34,0.212s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-18 10:52:34,2017-07-18 10:52:35,0.568s,FAILED
